,source,title,url
81,sci-tech-today.com,Senate Bill: WikiLeaks a 'Hostile Intelligence Service' | Sci-Tech Today,http://www.sci-tech-today.com/story.xhtml?story_id=105947
82,Techdirt.,Intelligence Committee Pins A 'Surveil Me' Sign On Wikileaks' Back In Latest Authorization Bill,https://www.techdirt.com./articles/20170823/09441338070/intelligence-committee-pins-surveil-me-sign-wikileaks-back-latest-authorization-bill.shtml
83,RT,Assange blasts 'absurd' bid to class WikiLeaks a hostile intelligence service  --  RT America,https://www.rt.com/usa/400770-assange-wikileaks-hostile-intelligence/
84,enterprise-security-today.com,Senate Bill: WikiLeaks a 'Hostile Intelligence Service' | Enterprise Security Today,http://www.enterprise-security-today.com/story.xhtml?story_id=105947
85,smirkingchimp.com,The Times They Are A-Changin' in North Korea: Trump and the Geopolitics of Crazy,http://www.smirkingchimp.com/thread/john-feffer/74743/the-times-they-are-a-changin-in-north-korea-trump-and-the-geopolitics-of-crazy
86,sunnewsonline.com,Assange slams US Bill labelling WikiLeaks 'non-state intelligence service',http://sunnewsonline.com/assange-slams-us-bill-labelling-wikileaks-non-state-intelligence-service/
87,Sputnik,Assange Slams US Bill Labeling WikiLeaks 'Non-State Intelligence Service',https://sputniknews.com/world/201708241056747452-assange-us-wikiLeaks/
88,counterpunch.org,Trump and the Geopolitics of Crazy,https://www.counterpunch.org/2017/08/24/trump-and-the-geopolitics-of-crazy/
89,inthesetimes.com,"If Nixon Went to China, Trump Can Go to North Korea",http://inthesetimes.com/article/20453/trump-and-the-geopolitics-of-crazy
90,International Business Times UK,Julian Assange slams 'absurd' US plan to label WikiLeaks 'non-state intelligence service',http://www.ibtimes.co.uk/julian-assange-slams-absurd-us-plan-label-wikileaks-non-state-intelligence-service-1636418
91,Truthdig,"Trump and the Geopolitics of Crazy - Truthdig: Expert Reporting, Current News, Provocative Columnists",https://www.truthdig.com/articles/trump-geopolitics-crazy/
92,Sputnik,US Senate Considers Naming WikiLeaks a 'Non-State Hostile Intelligence Service',https://sputniknews.com/us/201708231056735143-senate-wikileaks-hostile-intelligence-service/
93,Bloomberg Business,Talks Reassure Israel That U.S. Wants Iran Out of Syria,https://www.bloomberg.com/view/articles/2017-08-23/talks-reassure-israel-that-u-s-wants-iran-out-of-syria
94,koreaherald.com,[San Diego Union-Tribune] Why Iran nuclear deal is still historic challenge for Trump,http://www.koreaherald.com/view.php?ud=20170822000924
95,Alternet,The Geopolitics of Crazy: How to Avoid War With North Korea,http://www.alternet.org/world/how-avoid-war-north-korea
96,Antiwar.com Original,Avoiding War With Pyongyang - Antiwar.com Original,http://original.antiwar.com/engelhardt/2017/08/22/avoiding-war-pyongyang/
97,The Daily Beast,Senators Try to Force Trump Admin to Declare WikiLeaks a 'Hostile' Spy Service,http://www.thedailybeast.com/senators-try-to-force-trump-admin-to-declare-wikileaks-a-hostile-spy-service
98,Common Dreams,Trump and the Geopolitics of Crazy,https://www.commondreams.org/views/2017/08/22/trump-and-geopolitics-crazy
99,Washington Post,Opinion | The Trump White House's ugly new strategy: Use Dreamers as a 'bargaining chip',https://www.washingtonpost.com/blogs/plum-line/wp/2017/08/22/the-trump-white-houses-ugly-new-strategy-use-dreamers-as-a-bargaining-chip/
100,POLITICO,"Week 13: Hounded on All Sides, a Cornered President Snarls",http://politi.co/2v0KxnN
101,Southern California Public Radio,3 questions about a pro-Russia congressman's meeting with Julian Assange,http://www.scpr.org/news/2017/08/18/74811/3-questions-about-a-pro-russia-congressman-s-meeti/
102,yahoo.com,Far-right figure who set up Assange meeting refuses to cooperate with Senate intel probe,https://www.yahoo.com/news/alt-right-figure-set-assange-meeting-refuses-cooperate-senate-intel-probe-172020121.html
103,gpbnews.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://gpbnews.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
104,tpr.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://tpr.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
105,wyomingpublicmedia.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://wyomingpublicmedia.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
106,KSMU FM 91.1,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://ksmu.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
107,wemu.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://wemu.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
108,wshu.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://wshu.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
109,news.wsiu.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://news.wsiu.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
110,ripr.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://ripr.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
111,wuwm.com,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://wuwm.com/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
112,kosu.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://kosu.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
113,publicradiotulsa.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://publicradiotulsa.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
114,boisestatepublicradio.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://boisestatepublicradio.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
115,keranews.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://keranews.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
116,wvpublic.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://wvpublic.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
117,kmuw.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://kmuw.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
118,wyso.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://wyso.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
119,iowapublicradio.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://iowapublicradio.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
120,wrvo.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://wrvo.org/post/3-questions-about-pro-russia-congressmans-meeting-julian-assange
121,NPR.org,3 Questions About A Pro-Russia Congressman's Meeting With Julian Assange,http://www.npr.org/2017/08/18/544266751/3-questions-about-a-pro-russia-congressmans-meeting-with-julian-assange
122,Business Insider,Wikileaks' Julian Assange reportedly turned down a trove of documents related to the Russian government,http://www.businessinsider.com/assange-turned-down-documents-related-to-russian-government-corruption-2017-8
123,unian.info,"Sen.Rohrabacher meets Assange, to brief Trump",https://www.unian.info/world/2087579-senrohrabacher-meets-assange-to-brief-trump.html
124,Washington Examiner,WikiLeaks refused to publish Russian government documents: Report,http://www.washingtonexaminer.com/wikileaks-refused-to-publish-russian-government-documents-report/article/2631890
125,Mail Online,Assange tells GOP rep he did NOT get leaked DNC emails from Russia,http://www.dailymail.co.uk/~/article-4799808/index.html
126,Los Angeles Times,"Rep. Dana Rohrabacher met with WikiLeaks founder Julian Assange, plans to divulge what he heard to Trump",http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-rep-dana-rohrabacher-met-with-1502940957-htmlstory.html
127,The Orange County Register,"O.C. congressman meets with Wikileaks founder Assange, who denies Russia was involved in DNC leaks",http://www.ocregister.com/2017/08/16/o-c-congressman-meets-with-wikileaks-founder-assange-who-denies-russia-was-involved-in-dnc-leaks/
128,Duluth Budgeteer News,North Korea's Kim appears to ease rhetoric over Guam missile...,http://www.duluthnewstribune.com/news/4313030-north-koreas-kim-appears-ease-rhetoric-over-guam-missile-strike
129,Bemidji Pioneer,North Korea's Kim appears to ease rhetoric over Guam missile...,http://www.bemidjipioneer.com/news/4313030-north-koreas-kim-appears-ease-rhetoric-over-guam-missile-strike
130,aliveforfootball.com,Former spy chief: Denuclearized North Korea not in the cards,http://aliveforfootball.com/2017/08/former-spy-chief-denuclearized-north-korea-not-in-the-cards/
131,myajc.com,North Korea's Kim appears to ease rhetoric U.S. Joint Chiefs chairman stresses diplomacy,http://www.myajc.com/news/north-korea-kim-appears-ease-rhetoric-joint-chiefs-chairman-stresses-diplomacy/LUEgxwyj4cmVBqBX3p2q2H/
132,The Boston Globe,North Korea appears to ease rhetoric amid rising tensions - The Boston Globe,https://www.bostonglobe.com/news/world/2017/08/15/north-korea-appears-ease-rhetoric-amid-rising-tensions/EULMcjTyrlSWFYzLcPG6sJ/story.html
133,Herald and News,Joint Chiefs chairman stresses North Korea diplomacy,http://www.heraldandnews.com/news/nation_world/joint-chiefs-chairman-stresses-north-korea-diplomacy/article_c1996b6a-d8d7-5a0f-806e-e0da2c5c8a1e.html
134,newburghgazette.com,Home,http://newburghgazette.com/2017/08/15/north-korea-leader-holds-off-on-guam-missile-plan/
135,The New Zealand Herald,Kim appears to ease rhetoric as US Joint Chiefs chairman stresses diplomacy,http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=11904631
136,The Straits Times,"North Korea's Kim Jong Un appears to ease rhetoric, East Asia News & Top Stories - The Straits Times",http://www.straitstimes.com/asia/east-asia/north-koreas-kim-jong-un-appears-to-ease-rhetoric
