source,reputation,articles,size
thatviralfeed.net,-1,[],100
bostontribune.com,-1,[],100
guardian,0.77,[],100
Newsmax.com,-1,[],100
threepercenternation.com,-1,[],100
EUTimes.net,-1,[],100
usapoliticstoday.com,-1,[],100
counterinformation.wordpress.com,-1,[],100
morningnewsusa.com,-1,[],100
sentinelblog.com,-1,[],100
patriotupdate.com,-1,[],100
rhotv.com,-1,[],100
observer.com,-1,[],100
seattle times,0.75,[],100
angrypatriotmovement.com,-1,[],100
nowtheendbegins.com,-1,[],100
myfreshnews.com,-1,[],100
speld.nl,-1,[],100
newswire-24.com,-1,[],100
dailysquib.co.uk,-1,[],100
newsmagazine.com,-1,[],100
aceflashman.wordpress.com,-1,[],100
awm.com,-1,[],100
SilverBearCafe.com,-1,[],100
smag31.com,-1,[],100
the onion,-0.6,[],100
success-street.com,-1,[],100
truthandaction.org,-1,[],100
jesus-is-savior.com,-1,[],100
cnn,0.5,[],100
conservativetribune.com,-1,[],100
rumormillnews.com,-1,[],100
burrardstreetjournal.com,-1,[],100
21stcenturywire.com,-1,[],100
dailycurrant.com,-1,[],100
newsdaily12.com,-1,[],100
dcleaks.com,-1,[],100
worldpoliticsnow.com,-1,[],100
wikispooks.com,-1,[],100
wtoe5news.com,-1,[],100
blackagendareport.com,-1,[],100
flashnewscorner.com,-1,[],100
msnbc.website,-1,[],100
whydontyoutrythis.com,-1,[],100
americanthinker.com,-1,[],100
educate-yourself.org,-1,[],100
FinancialSurvivalNetwork.com,-1,[],100
aryannationswordwide1488.org,-1,[],100
occupy democrats,-6,[],100
dailybuzzlive.com,-1,[],100
thelastgreatstand.com,-1,[],100
New York Times,1,[],100
religionlo.com,-1,[],100
redstate.com,-1,[],100
whowhatwhy.org,-1,[],100
theeconomiccollapseblog.com,-1,[],100
newsfrompolitics.com,-1,[],100
cnnnext.com,-1,[],100
theintercept.com,-1,[],100
wundergroundmusic.com,-1,[],100
truthkings.com,-1,[],100
truthbroadcastnetwork.com,-1,[],100
